id;created_date;created_user;updated_date;updated_user;user_id;shop_id;brand_id;product_id;product_name;product_price;product_quantity;product_image;subtotal;shipping_cost;tax;total_money;created_at;product_color;product_size;product_weight;discount;coupon_code
0c4a01c9-4928-4b7b-ae2d-c1a939b89abd;2023-04-12T21:03:18;RAM Oro;2023-04-13T10:14:04;AI;withdrawal Market Florida;Dakota Gorgeous;RSS Hampshire Books;circuit Steel regional;modular;7998;28737;Intranet;25243;49800;1158;25115;2023-04-13T09:15:44;Sausages;transmit interactive;36051;68925;Grocery Books
48c0d706-c346-4869-9232-0e95c1e7c776;2023-04-12T15:51:44;homogeneous Sports;2023-04-13T11:46:19;bandwidth circuit;Checking card;deposit;Avon leverage;killer;City eyeballs;80545;49941;Reduced;28311;33595;19351;19035;2023-04-13T08:07:31;Saint;Stream Incredible;32768;98805;Team-oriented
1ddabe51-6b8b-48a7-82e3-2e0d6e717730;2023-04-13T10:40:17;Kentucky Designer Soap;2023-04-12T22:24:52;Wallis;composite Customer-focused;experiences;Communications cross-platform;Handcrafted;multi-byte Berkshire;46307;75784;migration;22027;94884;29718;56201;2023-04-13T02:10:09;time-frame;Mobility;21255;53091;orchestrate Account Soft
8e7f1fb8-bd11-438b-8f6c-8db069354f51;2023-04-13T05:18:45;deposit;2023-04-13T00:46:10;Brand scalable;South;Chicken;neutral PCI Beauty;enable Lek;front-end;91307;77140;GB;82556;87590;20544;8796;2023-04-12T16:11:39;syndicate;Handmade Clothing;21919;85092;algorithm e-tailers Strategist
3383e5da-a88f-45f8-a26f-822900872b38;2023-04-12T14:37:08;neural;2023-04-13T05:53:02;bandwidth;Tunisia;Soap bandwidth;microchip olive;generating;group Representative;31908;52327;action-items;56510;91519;56288;23342;2023-04-13T04:38:04;PNG;purple payment zero;91286;92227;info-mediaries
08d8c3ed-b37f-4d1c-ad4a-3ef237fea148;2023-04-13T02:46:31;Kiribati;2023-04-13T12:10:23;Human Computers Cotton;Incredible Oregon;Kenya Cuban;Russian;Assurance;Account interfaces Cotton;10022;18187;backing;46536;99592;26120;3892;2023-04-13T07:22:17;e-markets;green Aruban;51355;41254;Integration Canyon architectures
6e17026e-1b5d-4118-8602-863564c20327;2023-04-12T18:27:40;Granite;2023-04-13T06:42:37;pink relationships program;Planner Papua;Wyoming;payment Borders Tools;Mozambique Silver Customizable;Loan neural;50885;10052;Engineer Lira SSL;77099;20889;21164;47194;2023-04-12T19:28:32;District;Dynamic;40825;57555;Metal
529e82e3-1247-469b-a5fa-3a956d5c8bd9;2023-04-12T20:40:32;withdrawal technologies deliverables;2023-04-13T01:39:27;Shoes card Implemented;Toys solid;Tuna Cross-group;Regional payment Bike;database;parsing Supervisor;3709;45835;Borders virtual;84829;90476;29389;95714;2023-04-12T15:16:30;invoice;turquoise;66781;88628;AI Fresh
80688298-e8e4-4647-93f2-da7c55e45952;2023-04-12T22:19:32;Dynamic Plastic;2023-04-12T17:35:20;Computer Incredible Rustic;circuit Lead innovate;Shirt;application generation web-readiness;Analyst matrix;explicit copy productize;86444;73833;revolutionary;83644;6903;73571;39536;2023-04-13T00:28:52;bypass;Rubber;16766;92669;deposit best-of-breed bandwidth
97130035-b75a-40ba-b657-5bfba913c55e;2023-04-12T13:43:26;User-friendly Gloves infrastructures;2023-04-13T01:27:52;Honduras Handmade;Supervisor;program front-end Configuration;Bermuda;regional;Progressive Agent Dollar;67740;60806;Dynamic Markets integrate;81653;40755;99559;80716;2023-04-12T19:02:44;Nevada;Plastic Account;76424;3337;monetize Bike
