id;created_date;created_user;updated_date;updated_user;name;description;price;quantity;category;image_url;manufacturer_id;product_attribute_id;brand_id
3090a85f-db9c-465e-bc55-cb21cecea3b7;2023-04-12T11:02:51;actuating deposit;2023-04-12T21:13:07;Steel;withdrawal models partnerships;Korea transmitting New;49167;20811;Card;intranet;neutral;Bike;Computer CFP orange
17fcf59e-3c0d-4ed8-9f31-08264847a72a;2023-04-12T11:08:19;Liaison;2023-04-13T04:03:31;Tunnel;Intelligent;pixel methodical quantifying;78950;33734;multi-byte Underpass project;Computer Arizona mobile;AGP lavender;navigate brand up;systems Gorgeous
1f01a246-8fc2-40e5-8e8f-102aa9ffcc91;2023-04-12T23:39:25;Account;2023-04-12T11:34:57;Martinique Executive Down-sized;transitional;bypassing Chief interactive;69233;80985;multi-byte Frozen;Product;Administrator CFA;Colombian B2C;bypassing Gateway Virtual
fc6895a2-3d52-4cdc-a354-2e4504986a10;2023-04-13T03:10:52;turquoise disintermediate;2023-04-12T17:24:27;index;Berkshire intuitive;Concrete Account Account;99880;94542;markets;adapter Keyboard Industrial;Buckinghamshire;application e-business Concrete;Agent Technician
335fa46f-d588-47fb-a4e6-ddf93f2ca858;2023-04-12T11:05:40;Mouse redundant content;2023-04-12T15:54:37;Awesome multi-tasking;primary Plastic;Infrastructure Buckinghamshire Avon;56407;55629;clicks-and-mortar;Rubber aggregate indexing;Computer PCI;Visionary Baby teal;Engineer
11d844dd-7aaa-4869-82b2-613c38b14abc;2023-04-12T13:09:51;Plastic Cambridgeshire Consultant;2023-04-12T23:31:56;Dakota Sterling;benchmark 1080p quantifying;relationships;83549;18475;quantify quantifying;generation regional;Gloves radical;alarm;Marketing
5397fd8c-591c-45f7-b506-61e02027f998;2023-04-12T13:06:44;Avon Gloves;2023-04-13T01:21:33;calculating niches AI;Analyst port;incentivize Global;45939;93138;SCSI Rubber;Account Rubber;Movies pixel SMTP;primary;Sleek
3a029d55-b833-4ebe-b57d-ee3cc8b653b4;2023-04-12T09:52:04;scalable Sports collaboration;2023-04-12T22:18:16;state Louisiana;yellow;well-modulated;20407;72797;Card Optimization;payment Cotton;solution Planner;Optimized UIC-Franc;THX virtual
d98b2bca-f695-4c70-a31e-0c40e9c2cc18;2023-04-12T14:14:14;blue;2023-04-13T02:49:26;Maine transition Bedfordshire;primary Configuration;PCI concept pixel;60456;80473;RSS reboot;Central;Home;invoice;Barbuda
102fac4b-85ee-4d29-a516-8527c5efca31;2023-04-12T20:31:47;Steel bi-directional;2023-04-12T18:20:24;Configuration Berkshire;digital Florida Islands;virtual;42938;61960;Cotton;Lilangeni;optical;Mobility invoice;grow
